Sentence,Label,Predicted,Score
"SELECT t.*, tt.*, tr.object_id FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id  =  tt.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id  =  tt.term_taxonomy_id WHERE tt.taxonomy IN  ( 'agent_category', 'agent_city' )  AND tr.object_id IN  ( 28313, 28341 )  ORDER BY t.name ASC",0,1,0.7591748023312292
"SELECT a.id, a.name, a.type, a.iso_country, a.municipality FROM airport a WHERE a.elevation_ft > (SELECT AVG(elevation_ft) FROM airport WHERE iso_country = ""DO"") OR a.elevation_ft > 2228.0",0,1,0.5301298247590798
"SELECT a.id, a.name, a.type, a.iso_country, a.municipality FROM airport a WHERE a.elevation_ft > (SELECT AVG(elevation_ft) FROM airport WHERE iso_country = ""UG"") OR a.elevation_ft > 2214.0",0,1,0.5222564628319201
"INSERT INTO countries (code, name, continent, keywords) VALUES (""VC"", ""São Tomé and Principe"", ""AS"", ""Letiště České republiky, Czechia"")",0,1,0.5823300824735825
"SELECT a.id, a.name, a.type, a.iso_country, a.municipality FROM airport a WHERE a.elevation_ft > (SELECT AVG(elevation_ft) FROM airport WHERE iso_country = ""MC"") OR a.elevation_ft > 396.0",0,1,0.5124027902932523
SELECT * FROM sold ORDER BY hot,0,1,0.997378559116809
"  SELECT Orders.seriesrID, Employees.leg, Employees.serve FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.trainID ORDER BY Orders.briefID",0,1,0.9996355235995336
"INSERT INTO countries (code, name, continent, keywords) VALUES (""EH"", ""São Tomé and Principe"", ""AS"", ""Aeropuertos de Bolivia"")",0,1,0.5563449665396487
"SELECT a.name AS airport_name,a.municipality,COUNT(r.id) AS runway_count, CAST(AVG(r.length_ft) AS SIGNED) AS avg_runway_length FROM airport a JOIN runways r ON a.id = r.airport_ref WHERE r.length_ft >=  CAST(""1298"" AS SIGNED) AND a.iso_country = ""MU"" GROUP BY a.id, a.name, a.municipality ORDER BY avg_runway_length DESC;",0,1,0.8840190483198814
"  SELECT faster,cross,eventually FROM enter LEFT JOIN Orders ON accurate.plateID =  job.found ORDER BY baby.period",0,1,0.9871445609288299
andrs castanyer,0,1,0.9801209988619455
